UnderlyingSymbol,UnderlyingPrice,Flags,OptionSymbol,Type,Expiration, DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest,IVMean,IVBid,IVAsk,Delta,Gamma,Theta,Vega,AKA
SPX,2016.52,*,SPX160115P01400000,put,January-15-16,January-05-16,1400,0.2,0.05,0.1,0,38560,38560,0.7552,0.7329,0.7775,-0.001,0,-0.0451,0.0111,SPX160115P01400000
SPX,2016.52,*,SPX160115C01405000,call,January-15-16,January-05-16,1405,0,611,614.9,0,0,0,1.058,0,1.1814,0.9868,0.0001,-0.6198,0.1094,SPX160115C01405000
SPX,2016.52,*,SPX160115P01405000,put,January-15-16,January-05-16,1405,0.1,0,0.15,0,1044,1044,0.7611,0,0.7997,-0.0012,0,-0.0533,0.0131,SPX160115P01405000
SPX,2016.52,*,SPX160115C01410000,call,January-15-16,January-05-16,1410,0,606,609.9,0,0,0,1.0504,0,1.1708,0.9866,0.0001,-0.624,0.1109,SPX160115C01410000
SPX,2016.52,*,SPX160115P01410000,put,January-15-16,January-05-16,1410,0.1,0.05,0.15,0,1046,1046,0.756,0.7196,0.7925,-0.0013,0,-0.0545,0.0135,SPX160115P01410000
SPX,2016.52,*,SPX160115C01415000,call,January-15-16,January-05-16,1415,0,601,604.9,0,0,0,1.0656,0,1.1608,0.9848,0.0001,-0.7062,0.1237,SPX160115C01415000
SPX,2016.52,*,SPX160115P01415000,put,January-15-16,January-05-16,1415,0.1,0.05,0.15,0,1274,1274,0.7491,0.7129,0.7852,-0.0013,0,-0.0545,0.0136,SPX160115P01415000
SPX,2016.52,*,SPX160115C01420000,call,January-15-16,January-05-16,1420,0,596,600,0,0,0,1.0352,0,1.1565,0.9861,0.0001,-0.6324,0.114,SPX160115C01420000
SPX,2016.52,*,SPX160115P01420000,put,January-15-16,January-05-16,1420,0.1,0.05,0.15,0,656,656,0.7422,0.7064,0.778,-0.0013,0,-0.0544,0.0137,SPX160115P01420000
SPX,2016.52,*,SPX160115C01425000,call,January-15-16,January-05-16,1425,625,591,595,0,503,503,0.9916,0,1.1465,0.9884,0.0001,-0.5209,0.0981,SPX160115C01425000
SPX,2016.52,*,SPX160115P01425000,put,January-15-16,January-05-16,1425,0.1,0.05,0.1,0,4906,4906,0.7211,0.6997,0.7425,-0.0011,0,-0.0448,0.0116,SPX160115P01425000
SPX,2016.52,*,SPX160115C01430000,call,January-15-16,January-05-16,1430,0,586,590,0,0,0,0.983,0,1.1366,0.9882,0.0001,-0.5209,0.0989,SPX160115C01430000
SPX,2016.52,*,SPX160115P01430000,put,January-15-16,January-05-16,1430,0.3,0.05,0.15,0,552,552,0.7284,0.6931,0.7637,-0.0013,0,-0.0543,0.0139,SPX160115P01430000
SPX,2016.52,*,SPX160115C01435000,call,January-15-16,January-05-16,1435,0,581,585,0,0,0,0.9918,0,1.1267,0.9869,0.0001,-0.5758,0.1084,SPX160115C01435000
SPX,2016.52,*,SPX160115P01435000,put,January-15-16,January-05-16,1435,0.1,0.05,0.15,0,604,599,0.7215,0.6865,0.7565,-0.0013,0,-0.0542,0.014,SPX160115P01435000
SPX,2016.52,*,SPX160115C01440000,call,January-15-16,January-05-16,1440,0,575.8,579.8,0,0,0,0.9574,0,1.1058,0.9886,0.0001,-0.4949,0.0965,SPX160115C01440000
SPX,2016.52,*,SPX160115P01440000,put,January-15-16,January-05-16,1440,0.45,0.05,0.15,0,561,561,0.7147,0.68,0.7495,-0.0013,0,-0.0542,0.0141,SPX160115P01440000
SPX,2016.52,*,SPX160115C01445000,call,January-15-16,January-05-16,1445,0,570.8,574.8,0,0,0,0.9325,0,1.0961,0.9895,0.0001,-0.4464,0.0894,SPX160115C01445000
SPX,2016.52,*,SPX160115P01445000,put,January-15-16,January-05-16,1445,0.45,0.05,0.15,0,585,585,0.7079,0.6735,0.7423,-0.0013,0,-0.0541,0.0143,SPX160115P01445000
SPX,2016.52,*,SPX160115C01450000,call,January-15-16,January-05-16,1450,567.1,565.8,569.8,0,1,1,0.9268,0,1.0864,0.9893,0.0001,-0.4541,0.0915,SPX160115C01450000
SPX,2016.52,*,SPX160115P01450000,put,January-15-16,January-05-16,1450,0.1,0.05,0.1,10,20087,20097,0.6875,0.667,0.7081,-0.0011,0,-0.0446,0.0121,SPX160115P01450000
SPX,2016.52,*,SPX160115C01455000,call,January-15-16,January-05-16,1455,0,560.8,564.8,0,0,0,0.9189,0,1.0768,0.9891,0.0001,-0.4553,0.0925,SPX160115C01455000
SPX,2016.52,*,SPX160115P01455000,put,January-15-16,January-05-16,1455,0.1,0.05,0.15,0,496,496,0.6943,0.6605,0.7281,-0.0014,0,-0.0539,0.0145,SPX160115P01455000
SPX,2016.52,*,SPX160115C01460000,call,January-15-16,January-05-16,1460,0,555.8,559.8,0,0,0,0.954,0,1.0672,0.9859,0.0001,-0.5935,0.1161,SPX160115C01460000
SPX,2016.52,*,SPX160115P01460000,put,January-15-16,January-05-16,1460,0.1,0.05,0.1,20,2341,2335,0.6742,0.654,0.6943,-0.0011,0,-0.0444,0.0123,SPX160115P01460000
SPX,2016.52,*,SPX160115C01465000,call,January-15-16,January-05-16,1465,0,550.8,554.8,0,0,0,0.9067,0,1.0577,0.9886,0.0001,-0.4685,0.0964,SPX160115C01465000
SPX,2016.52,*,SPX160115P01465000,put,January-15-16,January-05-16,1465,0.3,0.05,0.15,0,653,653,0.6808,0.6476,0.7141,-0.0014,0,-0.0538,0.0148,SPX160115P01465000
SPX,2016.52,*,SPX160115C01470000,call,January-15-16,January-05-16,1470,0,545.8,549.8,0,0,0,0.8883,0,1.0471,0.9892,0.0001,-0.4383,0.0921,SPX160115C01470000
SPX,2016.52,*,SPX160115P01470000,put,January-15-16,January-05-16,1470,0.15,0.05,0.15,0,1237,1237,0.6741,0.6412,0.7071,-0.0014,0,-0.0538,0.0149,SPX160115P01470000
SPX,2016.52,*,SPX160115C01475000,call,January-15-16,January-05-16,1475,0,540.8,544.8,0,0,0,0.9089,0,1.0375,0.9869,0.0001,-0.5279,0.1084,SPX160115C01475000
SPX,2016.52,*,SPX160115P01475000,put,January-15-16,January-05-16,1475,0.1,0.05,0.1,0,6549,6549,0.6544,0.6347,0.674,-0.0012,0,-0.0443,0.0126,SPX160115P01475000
SPX,2016.52,*,SPX160115C01480000,call,January-15-16,January-05-16,1480,0,535.8,539.8,0,0,0,0.8522,0,1.0279,0.9903,0.0001,-0.3818,0.0836,SPX160115C01480000
SPX,2016.52,*,SPX160115P01480000,put,January-15-16,January-05-16,1480,0.15,0.05,0.15,0,640,640,0.6608,0.6284,0.6931,-0.0014,0,-0.0537,0.0152,SPX160115P01480000
SPX,2016.52,*,SPX160115C01485000,call,January-15-16,January-05-16,1485,0,530.8,534.8,0,0,0,0.894,0,1.0183,0.9865,0.0001,-0.5339,0.1115,SPX160115C01485000
SPX,2016.52,*,SPX160115P01485000,put,January-15-16,January-05-16,1485,0.55,0.05,0.15,0,580,580,0.6541,0.6219,0.6862,-0.0015,0,-0.0535,0.0153,SPX160115P01485000
SPX,2016.52,*,SPX160115C01490000,call,January-15-16,January-05-16,1490,0,525.8,529.8,0,0,0,0.8768,0,1.0087,0.9871,0.0001,-0.5047,0.1074,SPX160115C01490000
SPX,2016.52,*,SPX160115P01490000,put,January-15-16,January-05-16,1490,0.25,0.05,0.15,0,824,824,0.6474,0.6156,0.6793,-0.0015,0,-0.0535,0.0154,SPX160115P01490000
SPX,2016.52,*,SPX160115C01495000,call,January-15-16,January-05-16,1495,0,520.8,524.8,0,0,0,0.8602,0,0.9991,0.9876,0.0001,-0.4777,0.1037,SPX160115C01495000
SPX,2016.52,*,SPX160115P01495000,put,January-15-16,January-05-16,1495,0.1,0.05,0.1,40,1006,1046,0.6282,0.6092,0.6472,-0.0012,0,-0.044,0.0131,SPX160115P01495000
SPX,2016.52,*,SPX160115C01500000,call,January-15-16,January-05-16,1500,559.3,515.8,519.8,0,4494,4494,0.8469,0,0.9896,0.9879,0.0001,-0.4615,0.1017,SPX160115C01500000
SPX,2016.52,*,SPX160115P01500000,put,January-15-16,January-05-16,1500,0.15,0.05,0.1,5,47049,47052,0.6217,0.6029,0.6405,-0.0012,0,-0.044,0.0132,SPX160115P01500000
SPX,2016.52,*,SPX160115C01505000,call,January-15-16,January-05-16,1505,0,510.8,514.8,0,0,0,0.8171,0,0.9801,0.9894,0.0001,-0.3957,0.0904,SPX160115C01505000
SPX,2016.52,*,SPX160115P01505000,put,January-15-16,January-05-16,1505,0.1,0.05,0.15,0,1263,1263,0.6276,0.5966,0.6586,-0.0015,0,-0.0533,0.0158,SPX160115P01505000
SPX,2016.52,*,SPX160115C01510000,call,January-15-16,January-05-16,1510,0,505.8,509.8,0,0,0,0.835,0,0.9706,0.9872,0.0001,-0.4754,0.1063,SPX160115C01510000
SPX,2016.52,*,SPX160115P01510000,put,January-15-16,January-05-16,1510,0.1,0.05,0.15,0,681,681,0.6211,0.5904,0.6518,-0.0015,0,-0.0532,0.016,SPX160115P01510000
SPX,2016.52,*,SPX160115C01515000,call,January-15-16,January-05-16,1515,0,500.8,504.8,0,0,0,0.8179,0,0.9611,0.9878,0.0001,-0.4466,0.1019,SPX160115C01515000
SPX,2016.52,*,SPX160115P01515000,put,January-15-16,January-05-16,1515,0.25,0.05,0.15,0,427,427,0.6145,0.5841,0.6449,-0.0015,0,-0.0531,0.0161,SPX160115P01515000
SPX,2016.52,*,SPX160115C01520000,call,January-15-16,January-05-16,1520,0,495.8,499.8,0,0,0,0.8256,0,0.9517,0.9863,0.0001,-0.4981,0.1126,SPX160115C01520000
SPX,2016.52,*,SPX160115P01520000,put,January-15-16,January-05-16,1520,0.1,0.05,0.1,15,995,985,0.5959,0.5778,0.614,-0.0013,0,-0.0438,0.0137,SPX160115P01520000
